3.png,3
16.png,3
31.png,3
21.png,3
36.png,3
44.png,3
48.png,5
71.png,4
2.png,3
85.png,4
83.png,4
76.png,3
49.png,5
6.png,4
6.png,3
8.png,5
5.png,5
73.png,5
51.png,3
22.png,4
87.png,4
75.png,3
43.png,3
67.png,3
26.png,3
1.png,3
53.png,3
2.png,0
41.png,3
32.png,2
45.png,3
9.png,3
34.png,4
60.png,3
89.png,3
5.png,4
65.png,5
62.png,4
41.png,3
63.png,5
23.png,5
3.png,3
100.png,4
82.png,4
80.png,5
94.png,3
20.png,4
93.png,3
91.png,3
7.png,5
68.png,4
97.png,5
70.png,3
39.png,4
62.png,4
30.png,4
7.png,3
47.png,3
66.png,3
42.png,4
11.png,4
1.png,5
74.png,3
11.png,5
8.png,3
93.png,3
86.png,3
98.png,5
12.png,4
32.png,4
35.png,3
33.png,3
19.png,3
48.png,4
28.png,5
24.png,3
15.png,3
23.png,5
86.png,3
65.png,0
40.png,4
39.png,4
41.png,3
96.png,5
52.png,0
95.png,3
48.png,4
39.png,4
36.png,5
58.png,3
83.png,4
92.png,5
17.png,5
47.png,4
73.png,5
45.png,5
89.png,0
94.png,5
92.png,4
61.png,4
